key,R,adam,best,alpha_best,rho_best,kappa_best,alpha_det,aGN,L0
"('grid3', 5, 550)",0.5555135438806157,7721.11278296772,0.01693709308033863,-10,0.5,inf,-10,-112.38195122158612,0.00032477307564463063
"('grid3', 5, 600)",0.5827647551360174,19393.53177963067,0.01531762738098653,-15,0.5,inf,-15,-114.29590289467417,0.00031087425679812296
"('grid3', 5, 650)",0.5944193187588381,55153.77382862865,0.009635427339948184,-20,0.5,5.0,-15,-105.6151432622757,0.00030305149346484915
"('grid3', 5, 700)",0.5991526211268061,25875.914030023327,0.03484056493294843,-15,0.5,50.0,-15,-78.86644889621691,0.00029846061462011935
"('grid3', 5, 750)",0.6009621432662305,1389.2742892279994,0.08341211337565173,-15,0.5,5.0,-5,-45.594612756128384,0.00029553847016582297
"('grid3', 5, 800)",0.6015426750182356,428260.00917755615,0.14338906780533583,-10,0.5,5.0,-15,-28.731784651425382,0.0002934334710610398
"('grid3', 5, 850)",0.6013864745438284,303652.50989536836,0.13383946258763949,-15,0.5,5.0,-15,-22.414388629958804,0.0002916769677229464
"('grid3', 5, 900)",0.6008593215673478,176034.0349631811,0.1675766940017268,-10,0.5,5.0,-15,-20.11535474643748,0.0002900567413594758
"('grid3', 5, 950)",0.4639562517891869,1268677625.3034272,0.7407611208728738,-30,0.5,5.0,15,86.11654707511534,0.0002937543956301918
"('grid3', 5, 1000)",0.515900147762444,2204603.2985532596,0.4661004368621108,-5,0.5,inf,-5,63.92416350986296,0.00028887558150030766
"('grid3', 5, 1050)",0.606777088871397,246867204.3443922,0.6119403794834468,-5,0.5,10.0,-10,-22.759166720848107,0.0002850629134489338
"('grid3', 5, 1100)",0.5994598755844862,60281573.48014324,0.34188122694801903,0,0.5,5.0,-10,-20.047812387812947,0.00028348711484669776
"('grid3', 5, 1150)",0.6099748140013399,799552565.365511,0.6452251632237017,0,0.5,10.0,-10,-14.336563990470703,0.00028156436289654104
"('grid3', 5, 1200)",0.5386901880137335,51438467.2455514,0.5870965937967743,-10,0.5,5.0,-10,47.86650214513506,0.0002811329996427934
"('grid3', 5, 1250)",0.6087290828995224,1176032519.8062308,0.6093333654194211,-5,0.5,10.0,-10,-13.692901973315923,0.0002779387600895632
"('grid3', 5, 1300)",0.5966659045792817,144249986.67414117,0.41197520642187047,0,0.5,10.0,-10,-20.938503410780626,0.0002762516542871062
"('grid3', 5, 1350)",0.5988980425748562,713115943.3782555,0.4899644396449758,-10,0.5,5.0,-10,-22.498562603498637,0.00027429104517827607
"('grid3', 5, 1400)",0.6733230041546175,8223777432.8794155,0.3568082725414823,-30,0.75,5.0,-15,-50.208563255540774,0.00027164315410185857
"('grid3', 5, 1450)",0.569906276737194,292522822.4432529,0.7445315543798132,0,0.5,20.0,-10,-7.733954127725161,0.0002707492785437967
"('grid3', 5, 1500)",0.5923107066229316,173372875.80056027,0.8023463231856677,-5,0.5,20.0,-10,-21.4030022367235,0.00026835241842496115
"('grid3', 5, 1550)",0.5904216422570984,29979049.112944603,0.6875253325642172,-5,0.5,50.0,-15,-21.22903111705137,0.0002662826001645506
"('grid3', 5, 1600)",0.6491133317619731,218059804236.48056,0.7216341568068703,-20,0.5,5.0,-15,-51.860300345074656,0.00026569979603214996
"('grid3', 5, 1650)",0.5410988078350307,493924499.51745534,0.6234972765061146,-5,0.5,5.0,-10,24.249530648519315,0.0002628156661217
"('grid3', 5, 1700)",0.5893876627544467,721097922.1107047,0.7424548158630748,-5,0.5,10.0,-10,-22.656875536360957,0.0002597616198194551
"('grid3', 5, 1750)",0.587052017735038,165197557.2040549,0.8211461357272671,-5,0.5,10.0,-10,-22.365347998884907,0.0002575404990192589
"('grid3', 5, 1800)",0.5857674423364735,138061577.8023978,1.110643926813132,-5,0.5,inf,-10,-22.527228257765337,0.0002552653563394829
"('grid3', 5, 1850)",0.41976110804072236,931016934973.1195,1.2102265224960076,15,0.75,50.0,15,89.34574295178669,0.0002949873215498769
"('grid3', 5, 1900)",0.6066197164098255,7046072082.095876,0.7840723898811957,0,0.5,5.0,-10,-6.337847720579927,0.0002502397629049282
"('grid3', 5, 1950)",0.5793866044460435,449554878.7275518,1.4084675915494596,-5,0.5,inf,-10,-21.922532072891467,0.00024824534489930987
"('grid3', 6, 0)",0.3890815950617303,154.77131330943354,10.419812539509241,-30,0.5,5.0,-30,87.87236049969928,22.363234482289773
"('grid3', 6, 10)",0.32739130427092167,19.205692984695677,2.037282446186298,-30,0.5,5.0,-30,72.74594452350917,4.387288579106533
"('grid3', 6, 20)",0.2758574708120177,2.0548426385915426,1.3528732886010284,-30,1.0,5.0,-30,87.46849441195567,1.422258250447486
"('grid3', 6, 50)",0.19596416469541664,1.4847019441396645,1.3266934681352058,-30,1.5,5.0,-30,64.73608612951787,1.4267436760996453
"('grid3', 6, 100)",0.19605374091232872,1.278661297729423,1.2174727087369908,-30,1.5,inf,-30,48.4238841820934,1.3371620549838028
"('grid3', 6, 150)",0.19725971250503702,1.1717467153773231,1.1198040989636566,-30,1.5,50.0,-30,40.18807574398244,1.2162131300914147
"('grid3', 6, 200)",0.1860269333679589,1.0936825505291203,1.0496163529657003,-30,1.5,20.0,-30,37.45626303701188,1.1266606177832077
"('grid3', 6, 250)",0.16992793253400565,1.0449471219687607,1.0116607331270897,-30,1.5,inf,-30,38.9588210073532,1.0702382646851798
"('grid3', 6, 300)",0.15478781034860395,1.01806491292521,0.9926369740055223,-30,1.5,inf,-30,44.67303659462466,1.0382058206373488
"('grid3', 6, 350)",0.14331412519894196,1.0059019441000001,0.9885406246462177,-30,1.5,inf,-30,53.75237245771523,1.0222372423075372
"('grid3', 6, 400)",0.13701242117438248,1.0030007528908456,0.9936784936026553,-20,1.5,inf,-20,63.57731893856224,1.0152990911518627
"('grid3', 6, 450)",0.13601413249979957,1.0041427238183818,0.9988162715475049,-15,1.5,inf,-15,71.37530955091522,1.0122541976350217
"('grid3', 6, 500)",0.13999977382366874,1.0045980401445334,1.0009536093993947,-15,1.5,20.0,-15,76.42190457202248,1.0099703830824405
"('grid3', 6, 550)",0.14799731946681052,1.0028639606679,1.000294308298921,-15,1.5,inf,-15,79.38886193591327,1.0070535795245779
"('grid3', 6, 600)",0.15518982609792037,0.9992757811939521,0.9971537091808729,-15,1.5,inf,-10,80.88315688658045,1.003227165703995
"('grid3', 6, 650)",0.15979727435030414,0.994732187700412,0.992745587686137,-5,1.5,50.0,-5,81.22713231529484,0.998693750686479
"('grid3', 6, 700)",0.16013148806589775,0.9897879230266124,0.9877749596413553,-10,1.5,50.0,0,81.31367766998638,0.9937432174711628
"('grid3', 6, 750)",0.15429443039311516,0.9848558230793227,0.9828745998201641,-5,1.5,inf,10,86.3238580606915,0.9886035499757972
"('grid3', 6, 800)",0.14479057303858786,0.981356759250379,0.9784987890103505,20,1.5,50.0,30,109.40414448948081,0.9834199876943326
"('grid3', 6, 850)",0.13968034575880414,0.9770583882446098,0.9745886706155427,30,1.5,50.0,30,111.3961807012545,0.9782755495081503
"('grid3', 6, 900)",0.13953995460530694,0.9722468276443686,0.9699086200455318,30,1.5,inf,30,113.10908775846862,0.9732147682801167
"('grid3', 6, 950)",0.1407552337624378,0.9674346003657526,0.9647343993115816,30,1.5,50.0,30,114.92897832872463,0.9682609511952802
"('grid3', 6, 1000)",0.13900429432467198,0.9624916502319577,0.9607170402416525,30,1.5,10.0,30,115.58243494167155,0.9634260962615506
"('grid3', 6, 1050)",0.17098981053449522,0.9578501930885107,0.9563117724671903,30,1.5,50.0,30,90.4456416679194,0.9587167090382974
"('grid3', 6, 1100)",0.18970892542336476,0.953181630085733,0.9516808731389763,30,1.5,10.0,30,89.86919912518344,0.9541366243884
"('grid3', 6, 1150)",0.19652705596453415,0.9485936788677842,0.9470146410358893,30,1.5,50.0,30,93.39602602548439,0.9496884324845072
"('grid3', 6, 1200)",0.19974578902070095,0.9441067940889956,0.9426077768449711,30,1.5,20.0,30,96.96461586847903,0.9453740569783273
"('grid3', 6, 1250)",0.20122705925853948,0.9397653066251526,0.9383698217685663,30,1.5,50.0,30,99.98682099434478,0.9411952578131746
"('grid3', 6, 1300)",0.20196933015516563,0.9356069305589091,0.9342893062000432,30,1.5,50.0,30,102.36186055524878,0.9371537486324795
"('grid3', 6, 1350)",0.20249996902696965,0.9316373160522243,0.9303742212641871,30,1.5,20.0,30,104.18224553361695,0.9332511526142626
"('grid3', 6, 1400)",0.2030455953872554,0.9278461414087456,0.9267262321345433,30,1.5,10.0,30,105.58370680081354,0.9294890321120071
"('grid3', 6, 1450)",0.20367826201457145,0.9242231580458757,0.9232031856248304,30,1.5,inf,30,106.68634245270033,0.925868918675087
"('grid3', 6, 1500)",0.20440269547215814,0.9207623425544424,0.9198292028874225,30,1.5,inf,30,107.58221745693723,0.9223919708683068
"('grid3', 6, 1550)",0.2051990090187308,0.917460663966386,0.9166035384380111,30,1.5,inf,30,108.33813949445317,0.9190593010474992
"('grid3', 6, 1600)",0.2060401453266514,0.9143157094983925,0.9135229027365638,30,1.5,inf,30,109.00246285639834,0.915871558299264
"('grid3', 6, 1650)",0.20690034622032616,0.9113250126150658,0.9105374792441743,30,1.5,10.0,30,109.60942519254172,0.9128289643838461
"('grid3', 6, 1700)",0.207755706935784,0.9084851410944146,0.9077684433611718,30,1.5,50.0,30,110.1842422674732,0.9099313161925455
"('grid3', 6, 1750)",0.20858688961985483,0.9057920841790003,0.905125456596546,30,1.5,inf,30,110.7445704653273,0.9071776745040199
"('grid3', 6, 1800)",0.20937688295183451,0.903241332975542,0.9025897820767204,20,1.5,50.0,30,111.3037138293191,0.9045666113145032
"('grid3', 6, 1850)",0.21011211015602585,0.9008287830545976,0.9001469083325269,30,1.5,5.0,30,111.87102718266824,0.9020958963584584
"('grid3', 6, 1900)",0.21078196367797145,0.8985500853700099,0.8979379833293246,30,1.5,inf,30,112.45310293864476,0.8997625590986584
"('grid3', 6, 1950)",0.21137718092508814,0.8964009068778332,0.8957978195481912,30,1.5,inf,30,113.05477579255873,0.897563212509934
"('grid3', 7, 0)",0.3246675315795063,26.311017218561037,1.1662820165801846,30,0.5,10.0,30,95.49029432906686,3.155956279437647
"('grid3', 7, 50)",0.29083400838854234,1.1298926392708015,0.6145359331451725,30,0.5,5.0,30,46.346434308689055,0.5749570689327872
"('grid3', 7, 100)",0.374202750272183,0.7385402219910154,0.7264081599446162,30,0.5,5.0,30,87.460994267467,0.6491948500676183
"('grid3', 7, 150)",0.34042103262405726,1.29152922478316,0.8531013754506784,30,0.5,5.0,30,4.781850015257141,0.7894195219316869
"('grid3', 7, 200)",0.3942922649344915,6.293900866524741,1.2302639617684854,30,0.5,5.0,20,-58.91371810992205,1.1214076106215296
"('grid3', 7, 250)",0.29108697479470425,58.45449030188868,0.4372095852273692,30,0.5,inf,-15,-37.15077694143576,0.891571992733801
"('grid3', 7, 300)",0.23978999302427478,450.2317816391139,0.30099571636782074,30,0.5,5.0,-15,20.67017816122138,0.5963696386606183
"('grid3', 7, 350)",0.19432438637922417,59.18557771147869,0.3968470897485245,15,0.5,5.0,-15,86.75005843719144,0.5942407887894332
"('grid3', 7, 400)",0.22198360370534137,6.990036758915711,0.387956202817202,30,0.5,5.0,-15,22.46695063308603,0.592028878917336
"('grid3', 7, 450)",0.25025849150316987,8.276552399926436,0.42151708516532127,30,0.5,20.0,-15,-12.625964353297386,0.5876916046414553
