task,seed,step,unit,feat,loss_tr,loss_va,Werr,R,mu,kappa,M2re,M2im,M3re,M3im,gmean,gabs
wave,0,0,0,0,1.8408792659392872,1.795713280663162,2.946989213530565,0.1399687992888797,-1.3688986842923287,0.2827245331317624,0.013521636802398785,0.045204824836454154,-0.17897430778633264,-0.0879201028980688,1.5570031478399062,0.27062861921781745
wave,0,0,0,1,1.8408792659392872,1.795713280663162,2.946989213530565,0.1795473182728982,0.884779719216541,0.36503824035062027,0.013521636802398783,0.04520482483645415,0.055355516540123634,0.14981071577487087,1.0373366962765682,0.1928247428998737
wave,0,10,0,0,1.4240704341884232,1.397826069531411,2.7532821008961332,0.21462132028104133,-2.0919587015914023,0.4395080694981173,-0.11143961583304637,0.017165379393666108,-0.06707032598364912,-0.09889552976829727,1.1111961408840836,0.28712540809047304
wave,0,10,0,1,1.4240704341884232,1.397826069531411,2.7532821008961332,0.23551418181040484,1.1992465077302807,0.4846954274626171,-0.11143961583304637,0.017165379393666098,0.09860525771181752,0.085738525352844,0.7362886333687138,0.19739220934693819
wave,0,20,0,0,1.1221487564893207,1.1070153053122964,2.5543835023587125,0.2583224723564159,-1.9994553399845296,0.5348415153261049,-0.12773187886949025,0.011084398313789797,-0.06519968358189758,-0.09212447966299386,0.7838697373955529,0.2681531620324734
wave,0,20,0,1,1.1221487564893207,1.1070153053122964,2.5543835023587125,0.3281865566332499,1.138140588650856,0.6948935648882821,-0.12773187886949025,0.011084398313789793,0.06541442987870075,0.06379469308862451,0.5268279877657507,0.2076792208868473
wave,0,30,0,0,0.9363355000706854,0.930070547149064,2.3579422289034895,0.30157559251775384,-1.9313542761658624,0.6326575709186838,-0.13812456358349423,0.0068123479053272245,-0.032253955343859275,-0.07461182159133715,0.564141580088221,0.23776252147435017
wave,0,30,0,1,0.9363355000706854,0.930070547149064,2.3579422289034895,0.4114135062201586,1.2006770420682509,0.902285565186641,-0.13812456358349423,0.006812347905327222,0.02898741424482097,0.03480496187795366,0.3808310413240436,0.1957268262746812
wave,0,40,0,0,0.8366823131303289,0.8354335983736262,2.17401674299122,0.32904374644702894,-1.8296298366411663,0.6969272933489259,-0.15192043877486883,-0.006258356049923018,0.008652455098143524,-0.028427962172023126,0.4419313473229935,0.21179315266372015
wave,0,40,0,1,0.8366823131303289,0.8354335983736262,2.17401674299122,0.4774543306816878,1.3133898226259113,1.084426953509478,-0.15192043877486885,-0.006258356049923014,-0.006287101586739743,-0.010224152678461492,0.2991137602851298,0.18339430611031254
wave,0,50,0,0,0.7656608059826919,0.7695327242606683,1.9861329156621472,0.33715557875164975,-1.671618277197773,0.7162674757172027,-0.17433435470789213,-0.031063788204651745,0.0158750053611572,0.049601013692968064,0.41209511407386973,0.209705769076095
wave,0,50,0,1,0.7656608059826919,0.7695327242606683,1.9861329156621472,0.5308665713331431,1.493904978832623,1.254488119385818,-0.17433435470789213,-0.03106378820465174,-0.00782091651937074,-0.07142142516447217,0.28130171834239487,0.19613154501984206
wave,0,60,0,0,0.6648516944919026,0.6771161615233069,1.7604672402732233,0.32404778355950964,-1.5417396331346052,0.6851004257759937,-0.2329824507964906,-0.04456035715417312,-0.040880375231981514,0.10679668970074058,0.46545386658453,0.2357118701894287
wave,0,60,0,1,0.6648516944919026,0.6771161615233069,1.7604672402732233,0.5844119182608406,1.703484777500339,1.4470109387760435,-0.2329824507964906,-0.044560357154173114,0.016833214253874768,-0.1473202635628772,0.3245307554137861,0.25277418777979077
wave,0,70,0,0,0.5265237571033823,0.5449727842653329,1.5181591906037037,0.29426707422763465,-1.6700593097165963,0.6158544186031709,-0.3511016667754717,0.02112539413519773,-0.0360791337703398,0.13105403891922376,0.5223157921642623,0.25751513384197644
wave,0,70,0,1,0.5265237571033823,0.5449727842653329,1.5181591906037037,0.6367255951264286,1.754489349677532,1.668726794659333,-0.3511016667754717,0.021125394135197734,-0.024958668205313343,-0.27332090069785897,0.37540637207353295,0.3138905344747069
wave,0,80,0,0,0.378536712510654,0.39292991269888006,1.296108439733982,0.24822714574632743,-1.6628728677771922,0.5125345863952935,-0.4289656094339729,0.13363279010363313,0.012141590282915966,0.15905727580487683,0.4941424363359035,0.2284779278548974
wave,0,80,0,1,0.378536712510654,0.39292991269888006,1.296108439733982,0.6735928872614737,1.6802914837174012,1.8536673665670635,-0.4289656094339729,0.13363279010363313,-0.10814610511317974,-0.3618128457641753,0.362370724772123,0.3196142788699462
